"window_start","window_end","rmsfe_h1","rmsfe_h3","rmsfe_h12","variable"
2006-05-31,2009-04-30,1879362552606568,1.50288795376214e+26,1.50822537401991e+103,"INDPRO"
2006-06-30,2009-05-31,1881353621545942,1.50181580775753e+26,1.50808066129424e+103,"INDPRO"
2006-07-31,2009-06-30,1823784294894090,1.5018560175598e+26,1.50802555289136e+103,"INDPRO"
2006-08-31,2009-07-31,1824760452299357,1.51026224779922e+26,1.5027883983676e+103,"INDPRO"
2006-09-30,2009-08-31,1826779322915831,1.51116104129235e+26,1.48502833481433e+103,"INDPRO"
2006-10-31,2009-09-30,1835137768713354,1.47941550776632e+26,5.7598555098459e+102,"INDPRO"
2006-11-30,2009-10-31,1796974807748140,1.47000704509934e+26,5.58085467487433e+102,"INDPRO"
2006-12-31,2009-11-30,1750704736362082,1.46996462681402e+26,5.57850946403684e+102,"INDPRO"
2007-01-31,2009-12-31,1750760516033252,1.45525406324359e+26,5.232525132788e+102,"INDPRO"
2007-02-28,2010-01-31,1757433706741814,1.45478470846111e+26,5.22579095425859e+102,"INDPRO"
2007-03-31,2010-02-28,1751611661395582,1.43940372552311e+26,5.1061610243038e+102,"INDPRO"
2007-04-30,2010-03-31,1741112740450805,1.4396301948671e+26,5.09044597687329e+102,"INDPRO"
2007-05-31,2010-04-30,1740154674312713,1.43540613727198e+26,5.05387811573073e+102,"INDPRO"
2007-06-30,2010-05-31,1770982425108629,1.43587302898241e+26,5.04238141967983e+102,"INDPRO"
2007-07-31,2010-06-30,1781488041583249,1.43659442695945e+26,5.0422932258457e+102,"INDPRO"
2007-08-31,2010-07-31,1808997408843413,1.43699639785228e+26,5.04228487258238e+102,"INDPRO"
2007-09-30,2010-08-31,1712457104205968,1.43706477902198e+26,5.03687163089443e+102,"INDPRO"
2007-10-31,2010-09-30,1706796442343935,1.43686838796103e+26,5.03634106579458e+102,"INDPRO"
2007-11-30,2010-10-31,1758906209345039,1.4378584602715e+26,5.03627653574421e+102,"INDPRO"
2007-12-31,2010-11-30,1777412514019685,1.42949150585745e+26,4.80307940647042e+102,"INDPRO"
2008-01-31,2010-12-31,1807134826729832,1.42729771895803e+26,4.78972981673371e+102,"INDPRO"
2008-02-29,2011-01-31,1808445962986018,1.42963760360958e+26,4.78136888235489e+102,"INDPRO"
2008-03-31,2011-02-28,1835549413343752,1.42995221623166e+26,4.78097352558121e+102,"INDPRO"
2008-04-30,2011-03-31,1706274548876760,1.43040746118109e+26,4.77888085052006e+102,"INDPRO"
